% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 88.29   74.398560        1733     42924      4505 futex
  5.41    4.555932       51190        89         5 accept4
  1.86    1.565871         177      8810      2085 read
  1.71    1.437127         154      9304           nanosleep
  1.42    1.194481         191      6250           epoll_pwait
  0.40    0.335513         125      2679           write
  0.35    0.292205         146      1989           sendto
  0.27    0.228345          28      7971           poll
  0.04    0.037578          27      1372           lseek
  0.03    0.025712          85       302         1 madvise
  0.02    0.018920          28       660           setsockopt
  0.02    0.015533          81       190           mmap
  0.02    0.015524          49       312           close
  0.01    0.011797          66       178           sched_yield
  0.01    0.010757          44       241        63 epoll_ctl
  0.01    0.010671         133        80        80 connect
  0.01    0.009553          36       259           mprotect
  0.01    0.008712         102        85           tgkill
  0.01    0.008657          54       160        17 openat
  0.01    0.007887          24       321           fcntl
  0.01    0.007688         207        37           munmap
  0.01    0.006830          83        82           socket
  0.01    0.006274          73        85           getpid
  0.01    0.006248          73        85         9 rt_sigreturn
  0.01    0.005768          20       285        30 stat
  0.01    0.004981          35       140           getdents64
  0.01    0.004849          43       111           sched_getaffinity
  0.01    0.004778          50        95         4 newfstatat
  0.00    0.003407         162        21           clone3
  0.00    0.002970          43        69           rt_sigprocmask
  0.00    0.002945          15       190           brk
  0.00    0.002849          13       219           recvfrom
  0.00    0.002680          16       158           getpeername
  0.00    0.002540          31        80           getsockopt
  0.00    0.002120          12       164           getsockname
  0.00    0.001979          22        87           fstat
  0.00    0.001213        1213         1           clone
  0.00    0.000678         678         1           clock_nanosleep
  0.00    0.000583          26        22           rseq
  0.00    0.000507           3       158        79 shutdown
  0.00    0.000416           6        60           rt_sigaction
  0.00    0.000395          26        15           readlink
  0.00    0.000355          16        22           set_robust_list
  0.00    0.000354          35        10           uname
  0.00    0.000323         323         1           execve
  0.00    0.000317         317         1           restart_syscall
  0.00    0.000275          17        16           getcwd
  0.00    0.000169          84         2           bind
  0.00    0.000158          26         6           sysinfo
  0.00    0.000130          32         4         4 ioctl
  0.00    0.000113          56         2           pipe2
  0.00    0.000106          53         2           pread64
  0.00    0.000077          25         3           dup3
  0.00    0.000072          36         2           readlinkat
  0.00    0.000063          31         2           listen
  0.00    0.000056          18         3           prlimit64
  0.00    0.000038          19         2           getrandom
  0.00    0.000029          29         1           arch_prctl
  0.00    0.000021          21         1           set_tid_address
  0.00    0.000017          17         1         1 access
------ ----------- ----------- --------- --------- ------------------
100.00   84.264706         975     86422      6883 total
